scholarship_id,new_deadline,new_status,what_to_do,award_value_tier,scholarship_name_th,scholarship_name_en,funder,level,deadline_raw,application_url,notes
TD-0062,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,full_tuition,,AIT Scholarships (Asian Institute of Technology),สถาบันเทคโนโลยีแห่งเอเชีย,Multiple,Rolling; next intake Jan 2027,https://ait.ac.th/financial/ait-scholarships/,
TD-0063,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_tuition,ทุน 55 ปี มหาวิทยาลัยอัสสัมชัญ,AU 55th Anniversary Scholarship,มหาวิทยาลัยอัสสัมชัญ,Undergraduate,Cycle: Dec 31 (recheck),https://admissions.au.edu/?page_id=1327,
TD-0066,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_tuition,ทุนมูลนิธิอานันทมหิดล,Ananda Mahidol Foundation Royal Scholarship 2569,มูลนิธิอานันทมหิดล,Multiple,Annual ~varies by faculty,https://projects.rdpb.go.th/,
TD-0067,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_tuition,ทุน BU CREATIVE,BU CREATIVE Scholarship,มหาวิทยาลัยกรุงเทพ,Undergraduate,Cycle-based (recheck),https://www.bu.ac.th/en/scholarship,
TD-0069,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_tuition,ทุน Global Bright,BU GLOBAL BRIGHT Scholarship,มหาวิทยาลัยกรุงเทพ,Undergraduate,Cycle-based (recheck),https://www.bu.ac.th/en/scholarship,
TD-0070,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_tuition,ทุนความสามารถพิเศษระดับสากล ปีการศึกษา 2569,BU International Special Talent Scholarship,มหาวิทยาลัยกรุงเทพ,Undergraduate,Cycle-based (recheck),https://www.bu.ac.th/th/scholarship/57,
TD-0071,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_tuition,ทุน NEW GEN ARTIST,BU NEW GEN ARTIST Scholarship,มหาวิทยาลัยกรุงเทพ,Undergraduate,Cycle-based (recheck),https://www.bu.ac.th/en/scholarship,
TD-0073,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_tuition,ทุน Tech Talent,BU Tech Talent Scholarship,มหาวิทยาลัยกรุงเทพ,Undergraduate,Cycle-based (recheck),https://www.bu.ac.th/th/scholarship/79,
TD-0074,,,ผูกกับรอบรับสมัคร — ดูปฏิทินรับสมัครของสถาบัน,full_tuition,โครงการช้างเผือก,Burapha University White Elephant Project - Faculty of Science,มหาวิทยาลัยบูรพา,Undergraduate,Recheck (TCAS Portfolio),https://science.buu.ac.th/scholarship/,
TD-0079,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,full_tuition,ทุนโครงการจุฬาฯ-ชนบท,Chula-Chonnabot Scholarship (2569),จุฬาลงกรณ์มหาวิทยาลัย,Undergraduate,Annual ~Mar,https://tcas.atc.chula.ac.th/,
TD-0041,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,large,,Minerva University Need-Based Financial Aid,Minerva University (USA),Undergraduate,Rolling through spring 2027,https://www.minerva.edu/undergraduate/financial-aid/,
TD-0145,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,medium,ทุนบุญรอดพัฒนานักศึกษา,Boonrawd Develop Students Scholarship,บริษัท บุญรอดบริวเวอรี่ จำกัด,Undergraduate,Annual,https://scholarship.ru.ac.th/boonrawd_2568/,
TD-0021,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,small,,Clarendon Fund Scholarship,มหาวิทยาลัยออกซ์ฟอร์ด,Multiple,~Jan 2027 (course deadline),https://www.ox.ac.uk/clarendon/information-for-applicants,
TD-0250,,,ต้องเสนอชื่อ/คณะกรรมการ — ถ้าไม่มีรอบเปิด ปล่อยว่างไว้,small,,Isuzu Group Foundation Scholarship,มูลนิธิกลุ่มอีซูซุ,,Annual (nominated/distributed via institutions),https://drivetripper.com/Isuzu-scholarship,"Need-based ('good grades but financial hardship') across secondary/vocational/university levels; 30th consecutive year. Distributed through partner schools/universities including Isan institutions (listed among external funders at KKU and SNRU). Award amount varies (~avg 7,000 THB); exact per-award and deadline not published online—verify with your university."
TD-0254,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,small,,Surindra Rajabhat University - Computer Science Dept. Merit-cum-Need Scholarship,มหาวิทยาลัยราชภัฏสุรินทร์ (สาขาวิทยาการคอมพิวเตอร์ คณะวิทยาศาสตร์และเทคโนโลยี),Undergraduate,Per current-cycle announcement (recurring internal scholarship),https://new.srru.ac.th/Register3,"Two grants of 2,000 THB (merit + financial hardship) and one of 1,500 THB (outstanding public-service activities). GPA >= 2.00; must be a financially needy Computer Science undergraduate; cannot hold other scholarships except student loans. Requires transcript, activity evidence, and a photo of the applicant's home. Exact deadline not stated on the published criteria; confirm current-cycle dates with the department."
TD-0311,,,ต้องเสนอชื่อ/คณะกรรมการ — ถ้าไม่มีรอบเปิด ปล่อยว่างไว้,small,,Princess Maha Chakri Sirindhorn Foundation – Royal Patronage Scholarship (need-based),มูลนิธิสมเด็จพระเทพรัตนราชสุดา,,Schools nominate (no direct application),https://pmsf.or.th/,"Need-based, good conduct; GPA ~2.00–2.50 by level. Schools nominate candidates — no direct applications. Foundation also runs a ""Return to Hometown Graduate"" scholarship (full ride, 5-yr hometown service bond) — see pmsf.or.th."
TD-0207,,,เปิดลิงก์ ถ้ารับตลอดให้ใส่ new_status = Open,stipend_only,,Daewoong Foundation Global Scholarship Program,Daewoong Foundation,Multiple,Rolling / annual (confirm),https://www.studyinkorea.go.kr/ko/plan/scholarship.do,For international students enrolled at Korean universities; career-oriented toward employment in Korea. Confirm the official Daewoong Foundation application page + current eligibility.
TD-0084,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,ทุนเรียนดี,KMUTT SIT Merit Scholarship,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,Undergraduate,Annual (varies),https://www.sit.kmutt.ac.th/scholarship-bsc/,
TD-0253,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Kalasin University Scholarships (Luang Ta Sinsap / Foundation-Day funds),มหาวิทยาลัยกาฬสินธุ์,,Annual (contact Student Affairs for current window),https://th.ksu.ac.th/archives/82694,Annual university need-based scholarship programs for students lacking funds; ทุนหลวงตาสินทรัพย์ จรณธัมโม awards 12 scholarships. Exact amounts and application window are not published online—verify with the university's student affairs office.
TD-0255,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Maha Sarakham Rajabhat University - Financial-Need Scholarship,มหาวิทยาลัยราชภัฏมหาสารคาม (กองพัฒนานักศึกษา),Undergraduate,Per current-cycle announcement (recurring),https://std.rmu.ac.th/,Recurring internal need-based scholarship via the Student Development Division. Contact 043-72543. Specific amounts/dates announced per cycle - not fabricated here. Division website verified real.
TD-0256,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Sakon Nakhon Rajabhat University - Financial-Need Scholarship,มหาวิทยาลัยราชภัฏสกลนคร (กองพัฒนานักศึกษา),Undergraduate,Per current-cycle announcement (recurring),https://www.snru.ac.th/%e0%b8%97%e0%b8%b8%e0%b8%99%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%a8%e0%b8%b6%e0%b8%81%e0%b8%a9%e0%b8%b2/,Recurring internal need-based scholarship administered by the university. Exact amounts/dates per cycle - not fabricated. University domain verified real.
TD-0257,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Ubon Ratchathani Rajabhat University - Financial-Need Scholarship,มหาวิทยาลัยราชภัฏอุบลราชธานี (กองพัฒนานักศึกษา),Undergraduate,Per current-cycle announcement (recurring),https://www.ubru.ac.th/,"Recurring internal need-based scholarship administered by the university (note: this is Rajabhat UBRU, distinct from Ubon Ratchathani University/UBU). Exact amounts/dates per cycle - not fabricated. Domain verified real."
TD-0258,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Buriram Rajabhat University - Financial-Need Scholarship,มหาวิทยาลัยราชภัฏบุรีรัมย์ (กองพัฒนานักศึกษา),Undergraduate,Per current-cycle announcement (recurring),https://www.bru.ac.th/,Recurring internal need-based scholarship administered by the university. Exact amounts/dates per cycle - not fabricated. Domain verified real.
TD-0259,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Roi Et Rajabhat University - Financial-Need Scholarship,มหาวิทยาลัยราชภัฏร้อยเอ็ด (กองพัฒนานักศึกษา),Undergraduate,Per current-cycle announcement (recurring),https://www.reru.ac.th/,Recurring internal need-based scholarship administered by the university. Exact amounts/dates per cycle - not fabricated. Domain verified real.
TD-0260,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Loei Rajabhat University - Financial-Need Scholarship,มหาวิทยาลัยราชภัฏเลย (กองพัฒนานักศึกษา),Undergraduate,Per current-cycle announcement (recurring),https://lru.ac.th/,Recurring internal need-based scholarship; the university also runs an emergency student loan fund (กองทุนเงินยืมฉุกเฉินไทยช่วยไทย) for students in hardship. Exact amounts/dates per cycle - not fabricated. Domain verified real.
TD-0261,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Udon Thani Rajabhat University - Financial-Need Scholarship,มหาวิทยาลัยราชภัฏอุดรธานี (กองพัฒนานักศึกษา),Undergraduate,Per current-cycle announcement (recurring),https://www.udru.ac.th/,Recurring internal need-based scholarship administered by the university. Udon Thani PAO (อบจ.อุดรธานี) also runs a separate annual need scholarship for local students but its 2569 cycle was already awarded (June 2026). Exact amounts/dates per cycle - not fabricated.
TD-0262,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Chaiyaphum Rajabhat University - Financial-Need Scholarship,มหาวิทยาลัยราชภัฏชัยภูมิ (กองพัฒนานักศึกษา),Undergraduate,Per current-cycle announcement (recurring),https://www.cpru.ac.th/,Recurring internal need-based scholarship administered by the university. Exact amounts/dates per cycle - not fabricated. Domain verified real.
TD-0263,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Sisaket Rajabhat University - Financial-Need Scholarship,มหาวิทยาลัยราชภัฏศรีสะเกษ (กองพัฒนานักศึกษา),Undergraduate,Per current-cycle announcement (recurring),https://www.sskru.ac.th/,Recurring internal need-based scholarship administered by the university (Sisaket is an Isan province adjacent to the target list). Exact amounts/dates per cycle - not fabricated. Domain verified real.
TD-0272,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,,,Fund Isaan Scholarships for Bright Rural Students,กองทุนอีสาน (Fund Isaan),Multiple,Rolling / ongoing (active 2025-2026),https://www.fund-isaan.org/,"Belgian-Thai NGO working specifically in Northeast Thailand (Isaan), addressing persistent rural poverty. Provides scholarships for bright disadvantaged students plus English-teaching volunteers and IT classes in rural schools (e.g., Surin province noted). Selection/application details not published online; contact the organization. Strong Isan alignment."
TD-0273,,,เปิดลิงก์ หาวันปิดรับของรอบปัจจุบัน,,,Hill Tribe Education Foundation University Scholarships,มูลนิธิการศึกษาเพื่อนักเรียนชาวเขา,Undergraduate,Annual (Grade 12 nominees from partner schools; confirm current window),https://taejai.com/th/project/hilltribeeducationfoundation,"For hill-tribe/ethnic-minority Grade-12 students from partner schools in northern Thailand (Chiang Mai, Phayao, Phitsanulok, Lampang, Mae Hong Son). ~109,560 THB tuition over 4 years plus ~5,220 THB/yr leadership programming. Merit track min GPA 3.00; character track min GPA 2.50; must commit to returning as community role models. Northern (not Isan) rural focus. Active since 2014."
TD-0278,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,,,"Standard Provincial PAO Scholarship & Student-Aid Program for Poor/Disadvantaged Students (Isan provinces), FY2569",องค์การบริหารส่วนจังหวัดต่าง ๆ ในภาคตะวันออกเฉียงเหนือ,,Annual program active within FY2569 (Oct 2025–Sep 2026); application windows vary by province (typically Feb–Jun); student-aid component accepted year-round via schools.,https://udonpao.go.th/scholarship-69-6-20/,"Nationwide mandated PAO program run by every province. Verified operating in Isan for FY2569 in Nakhon Ratchasima, Udon Thani, Kalasin; the same program runs in Ubon Ratchathani, Khon Kaen, Buriram, Sisaket, Roi Et, Sakon Nakhon, Maha Sarakham, Chaiyaphum, Yasothon, Mukdahan, Nong Khai, Bueng Kan, Loei, Nong Bua Lamphu, Amnat Charoen, Nakhon Phanom. Contact each provincial PAO Education, Religion and Culture Division to confirm the current round."
TD-0279,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,,,"Surin Secondary Education Work-Study (Income-Generating) Grant for Students, 2569",สำนักงานเขตพื้นที่การศึกษามัธยมศึกษาสุรินทร์ (สพม.สุรินทร์),,FY2569 program (selection results issued Mar 2026; further rounds posted Apr 2026). Confirm current round with SESAO Surin.,https://www.secondarysurin.go.th/,ทุนแลกงาน' lets students earn income through school work in exchange for support; aimed at students needing financial help. Administered by SESAO Surin across its secondary schools.
TD-0280,,,มีเดือนและปีอยู่แล้ว — ยืนยันวันที่แน่นอนจากลิงก์,,,Khon Kaen 200th Anniversary Education Foundation Scholarships (poor students & monks/novices),มูลนิธิเพื่อการศึกษาจังหวัดขอนแก่น ครบ 200 ปี พ.ศ.2540,,Annual program; award ceremonies typically July–August. Confirm current 2569 round with the foundation.,https://www.kknedfoundation200.org/,Supports poor and disadvantaged students AND Buddhist monks/novices residing or studying in Khon Kaen (all 26 districts). Community/temple-linked regional foundation. Phone 080-751-2888. Verify open application dates.
