scholarship_id,new_source_url,funder,scholarship_name_th,scholarship_name_en,award_value_tier,verification_status,funder_type,level,current_source_url,current_application_url
TD-0865,,MasterCard Foundation,,Mastercard Foundation Scholars Program at University of Edinburgh 2027,full_ride,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/mastercard-foundation-scholars-program-at-university-of-edinburgh-2027,https://www.scholarshiptab.com/scholarships/mastercard-foundation-scholars-program-at-university-of-edinburgh-2027
TD-0874,,Government of Portugal,,Portugal Government Scholarship 2027,full_ride,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/portugal-government-scholarship-2027,https://www.scholarshiptab.com/scholarships/portugal-government-scholarship-2027
TD-0900,,Ritsumeikan Asia Pacific University (APU),,APU MEXT University Recommendation (UR) Scholarship 2027,full_ride,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/apu-mext-university-recommendation-ur-scholarship-2027,https://www.scholarshiptab.com/scholarships/apu-mext-university-recommendation-ur-scholarship-2027
TD-0975,,Hertie School,,Hertie Ax:son Johnson Scholarship in International Security 2027,full_ride,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/hertie-ax-son-johnson-scholarship-in-international-security-2027,https://www.scholarshiptab.com/scholarships/hertie-ax-son-johnson-scholarship-in-international-security-2027
TD-1171,,University Of Sydney,,University of Sydney Australian Government Research Training Program 2027,full_ride,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/university-of-sydney-australian-government-research-training-program-2027,https://www.scholarshiptab.com/scholarships/university-of-sydney-australian-government-research-training-program-2027
TD-1579,,RMIT University,,2026 RMIT University PhD Scholarship in Parent-School Partnerships,full_ride,Auto-extracted (confirm deadline + link),International (open to Thais),PhD,https://www.scholarshiptab.com/scholarships/2026-rmit-university-phd-scholarship-in-parent-school-partnerships-for-students-with-disabilities,https://www.scholarshiptab.com/scholarships/2026-rmit-university-phd-scholarship-in-parent-school-partnerships-for-students-with-disabilities
TD-0697,,One Young World,,One Young World National Bursary for Job-Generating Entrepreneurs 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/one-young-world-national-bursary-for-job-generating-entrepreneurs-2026,https://www.scholarshiptab.com/scholarships/one-young-world-national-bursary-for-job-generating-entrepreneurs-2026
TD-0706,,Dufil Prima Foods Plc,,Indomie Scholarship Program 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/indomie-scholarship-program-2026,https://www.scholarshiptab.com/scholarships/indomie-scholarship-program-2026
TD-0742,,Clark University,,Clark University Presidential Scholarships 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/clark-university-presidential-scholarships-2027,https://www.scholarshiptab.com/scholarships/clark-university-presidential-scholarships-2027
TD-0753,,University of Oxford,,Skoll Scholarship 2027 at the University of Oxford,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/skoll-scholarship-2027-at-the-university-of-oxford,https://www.scholarshiptab.com/scholarships/skoll-scholarship-2027-at-the-university-of-oxford
TD-0799,,University of Manchester,,University of Manchester Equity and Merit Scholarships 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/university-of-manchester-equity-and-merit-scholarships-2027,https://www.scholarshiptab.com/scholarships/university-of-manchester-equity-and-merit-scholarships-2027
TD-0852,,Windsor Fellowship,,UCL Aspire Award Undergraduate Scholarship 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/ucl-aspire-award-undergraduate-scholarship-2026,https://www.scholarshiptab.com/scholarships/ucl-aspire-award-undergraduate-scholarship-2026
TD-0870,,European Union (EU),,MMoCRA Programme 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/mmocra-programme-2026,https://www.scholarshiptab.com/scholarships/mmocra-programme-2026
TD-0875,,Martingale Foundation,,Martingale Scholarship 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/martingale-scholarship-2027,https://www.scholarshiptab.com/scholarships/martingale-scholarship-2027
TD-0953,,University of Birmingham,,University of Birmingham Fully Funded PhD in Implementation Science 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/university-of-birmingham-fully-funded-phd-in-implementation-science-2027,https://www.scholarshiptab.com/scholarships/university-of-birmingham-fully-funded-phd-in-implementation-science-2027
TD-0954,,Hertie School,,Hertie Scholarship International Security Policy Scholarship 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/hertie-scholarship-international-security-policy-scholarship-2027,https://www.scholarshiptab.com/scholarships/hertie-scholarship-international-security-policy-scholarship-2027
TD-0958,,Hertie School,,Hertie School Human Rights Scholarship 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/hertie-school-human-rights-scholarship-2027,https://www.scholarshiptab.com/scholarships/hertie-school-human-rights-scholarship-2027
TD-0967,,The Gate Scholarship,,The Gates Scholarship 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/the-gates-scholarship-2027,https://www.scholarshiptab.com/scholarships/the-gates-scholarship-2027
TD-0970,,Hertie School,,Hertie School Digital Governance Scholarship 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/hertie-school-digital-governance-scholarship-2026,https://www.scholarshiptab.com/scholarships/hertie-school-digital-governance-scholarship-2026
TD-0993,,Hertie School,,Hertie School Climate Action Scholarship 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/hertie-school-climate-action-scholarship-2027,https://www.scholarshiptab.com/scholarships/hertie-school-climate-action-scholarship-2027
TD-1024,,University Of British Columbia,,University of British Columbia Dean's Entrance Scholarship 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/university-of-british-columbia-dean-s-entrance-scholarship-2027,https://www.scholarshiptab.com/scholarships/university-of-british-columbia-dean-s-entrance-scholarship-2027
TD-1046,,DAAD,,DAAD Double Degree Scholarship 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/daad-double-degree-scholarship-2027,https://www.scholarshiptab.com/scholarships/daad-double-degree-scholarship-2027
TD-1072,,University of New South Wales (UNSW),,"UNSW Scholarships for International Students Commencing Term 1, 2027",full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/unsw-scholarships-for-international-students-commencing-term-1-2027,https://www.scholarshiptab.com/scholarships/unsw-scholarships-for-international-students-commencing-term-1-2027
TD-1089,,South African Reserve Bank,,Master's in Data Science and Machine Learning Scholarship 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/master-s-in-data-science-and-machine-learning-scholarship-2027,https://www.scholarshiptab.com/scholarships/master-s-in-data-science-and-machine-learning-scholarship-2027
TD-1090,,South African Reserve Bank,,South African Reserve Bank Art scholarship 2027,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/south-african-reserve-bank-art-scholarship-2027,https://www.scholarshiptab.com/scholarships/south-african-reserve-bank-art-scholarship-2027
TD-1151,,Kponee-Shovein Foundation,,Kponee-Shovein Foundation Scholarship Award 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/kponee-shovein-foundation-scholarship-award-2026,https://www.scholarshiptab.com/scholarships/kponee-shovein-foundation-scholarship-award-2026
TD-1197,,University College Birmingham,,University College Birmingham Vice-Chancellor's Award 2026 (Scholarship in UK),full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/university-college-birmingham-vice-chancellor-s-award-2026-scholarship-in-uk,https://www.scholarshiptab.com/scholarships/university-college-birmingham-vice-chancellor-s-award-2026-scholarship-in-uk
TD-1254,,Manchester Metropolitan University,,Manchester Metropolitan University Sanctuary Scholarship 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/manchester-metropolitan-university-sanctuary-scholarship-2026,https://www.scholarshiptab.com/scholarships/manchester-metropolitan-university-sanctuary-scholarship-2026
TD-1258,,Manchester United Foundation,,Manchester United Foundation Scholarship 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/manchester-united-foundation-scholarship-2026,https://www.scholarshiptab.com/scholarships/manchester-united-foundation-scholarship-2026
TD-1267,,Simmons University,,Simmons Distinguished Scholar Award 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/simmons-distinguished-scholar-award-2026,https://www.scholarshiptab.com/scholarships/simmons-distinguished-scholar-award-2026
TD-1323,,University of Miami,,University of Miami Ronald A. Hammond Scholarship 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/university-of-miami-ronald-a-hammond-scholarship-2026,https://www.scholarshiptab.com/scholarships/university-of-miami-ronald-a-hammond-scholarship-2026
TD-1355,,Berea College,,Berea College Scholarship for International Students in USA 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/berea-college-scholarship-for-international-students-in-usa-2026,https://www.scholarshiptab.com/scholarships/berea-college-scholarship-for-international-students-in-usa-2026
TD-1391,,Federal Government of Nigeria,,Federal Government of Nigeria Scholarship Program 2026,full_tuition,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/federal-government-of-nigeria-scholarship-program-2026,https://www.scholarshiptab.com/scholarships/federal-government-of-nigeria-scholarship-program-2026
TD-0508,,มูลนิธิอานันทมหิดล,ทุนมูลนิธิอานันทมหิดล,Ananda Mahidol Foundation Scholarship,large,Auto-extracted (confirm deadline + link),Thai Government / Royal,Multiple,https://learninfinity.net/anandamahidol-foundation/,https://learninfinity.net/anandamahidol-foundation/
TD-0499,,มูลนิธิคุณแม่จินตนา ธนาลงกรณ์,ทุนมูลนิธิคุณแม่จินตนา ธนาลงกรณ์,Khun Mae Jintana Thanalongkorn Foundation Scholarship 2569,small,Auto-extracted (confirm deadline + link),Corporate / Bank / Foundation,Multiple,https://u-hit.net/the-khun-mae-jintana-thanalongkorn-foundation/,https://u-hit.net/the-khun-mae-jintana-thanalongkorn-foundation/
TD-0701,,Sheffield Hallam University,,White Rose funded PhD Scholarships 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),PhD,https://www.scholarshiptab.com/scholarships/white-rose-funded-phd-scholarships-2027,https://www.scholarshiptab.com/scholarships/white-rose-funded-phd-scholarships-2027
TD-0714,,Ritsumeikan Asia Pacific University (APU),,APU Rotary Yoneyama Scholarship for Overseas Candidate 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/apu-rotary-yoneyama-scholarship-for-overseas-candidate-2027,https://www.scholarshiptab.com/scholarships/apu-rotary-yoneyama-scholarship-for-overseas-candidate-2027
TD-0717,,University of Melbourne,,Chris Murray and Bridie Jean Butterfield Scholarship in Environmental Law at University of Melbourne 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/chris-murray-and-bridie-jean-butterfield-scholarship-in-environmental-law-at-university-of-melbourne-2027,https://www.scholarshiptab.com/scholarships/chris-murray-and-bridie-jean-butterfield-scholarship-in-environmental-law-at-university-of-melbourne-2027
TD-0720,,University of Melbourne,,Alex Chernov Scholarship at University of Melbourne 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/alex-chernov-scholarship-at-university-of-melbourne-2027,https://www.scholarshiptab.com/scholarships/alex-chernov-scholarship-at-university-of-melbourne-2027
TD-0739,,University of Southern Queensland,,UniSQ Domestic and International MRES Scholarship 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/unisq-domestic-and-international-mres-scholarship-2027,https://www.scholarshiptab.com/scholarships/unisq-domestic-and-international-mres-scholarship-2027
TD-0745,,Leeds University Business School,,Leeds University Business School PhD in Marketing Excellence Scholarships 2026/27,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),PhD,https://www.scholarshiptab.com/scholarships/leeds-university-business-school-phd-in-marketing-excellence-scholarships-2026-27,https://www.scholarshiptab.com/scholarships/leeds-university-business-school-phd-in-marketing-excellence-scholarships-2026-27
TD-0748,,Wageningen University & Research,,Wageningen University Scholarship in Netherlands 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/wageningen-university-scholarship-in-netherlands-2027,https://www.scholarshiptab.com/scholarships/wageningen-university-scholarship-in-netherlands-2027
TD-0758,,University of Southern Queensland,,UniSQ Domestic PhD Stipend Scholarship 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),PhD,https://www.scholarshiptab.com/scholarships/unisq-domestic-phd-stipend-scholarship-2027,https://www.scholarshiptab.com/scholarships/unisq-domestic-phd-stipend-scholarship-2027
TD-0835,,University of Cambridge,,Queens College Junior Research Fellowships/Early Career Fellowships 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/queens-college-junior-research-fellowships-early-career-fellowships-2027,https://www.scholarshiptab.com/scholarships/queens-college-junior-research-fellowships-early-career-fellowships-2027
TD-0841,,Murdoch University,,Murdoch University Research Training Program Stipends (Domestic students) 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/murdoch-university-research-training-program-stipends-domestic-students-2027,https://www.scholarshiptab.com/scholarships/murdoch-university-research-training-program-stipends-domestic-students-2027
TD-0843,,Murdoch University,,Murdoch University Research Training Program Stipends (International students) 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/murdoch-univeristy-research-training-program-stipends-international-students-2027,https://www.scholarshiptab.com/scholarships/murdoch-univeristy-research-training-program-stipends-international-students-2027
TD-0844,,University of Freiburg,,FRIAS Fellowship Programmes 2027-2028,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/frias-fellowship-programmes-2027-2028,https://www.scholarshiptab.com/scholarships/frias-fellowship-programmes-2027-2028
TD-0871,,Rosa-Luxemburg-Stiftung (RLS),,Rosa Luxemburg Foundation Scholarship 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/rosa-luxemburg-foundation-scholarship-2027,https://www.scholarshiptab.com/scholarships/rosa-luxemburg-foundation-scholarship-2027
TD-0877,,Macquarie University,,Sydney Quantum Academy PhD scholarships 2026,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),PhD,https://www.scholarshiptab.com/scholarships/sydney-quantum-academy-phd-scholarships-2026,https://www.scholarshiptab.com/scholarships/sydney-quantum-academy-phd-scholarships-2026
TD-0884,,Griffith University,,Griffith University Disability Scholars Research Scholarship (GUDSRS) 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/griffith-university-disability-scholars-research-scholarship-gudsrs-2027,https://www.scholarshiptab.com/scholarships/griffith-university-disability-scholars-research-scholarship-gudsrs-2027
TD-0895,,Griffith University,,Griffith University Postgraduate Research Scholarships (GUPRS) 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/griffith-university-postgraduate-research-scholarships-guprs-2027,https://www.scholarshiptab.com/scholarships/griffith-university-postgraduate-research-scholarships-guprs-2027
TD-0903,,Monash University,,Co-funded Monash Graduate Scholarship (CF-MGS) 2026,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/co-funded-monash-graduate-scholarship-cf-mgs-2026,https://www.scholarshiptab.com/scholarships/co-funded-monash-graduate-scholarship-cf-mgs-2026
TD-0906,,International Institute for Asian Studies (IIAS),,IIAS Asia in the World Fellowship 2027-2028,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/iias-asia-in-the-world-fellowship-2027-2028,https://www.scholarshiptab.com/scholarships/iias-asia-in-the-world-fellowship-2027-2028
TD-0939,,University of Otago,,University of Otago International Academic Excellence Scholarship 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/university-of-otago-international-academic-excellence-scholarship-2027,https://www.scholarshiptab.com/scholarships/university-of-otago-international-academic-excellence-scholarship-2027
TD-0946,,Australian National University (ANU),,ANU Australian Government Research Training Program (RTP) Stipend Scholarship 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/anu-australian-government-research-training-program-rtp-stipend-scholarship-2027,https://www.scholarshiptab.com/scholarships/anu-australian-government-research-training-program-rtp-stipend-scholarship-2027
TD-0950,,Griffith University,,Griffith University Australian Government's Research Training Program (RTP) 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/griffith-university-australian-government-s-research-training-program-rtp-2027,https://www.scholarshiptab.com/scholarships/griffith-university-australian-government-s-research-training-program-rtp-2027
TD-0956,,Istituto Marangoni,,Istituto Marangoni Accommodation Bursary 2026,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/istituto-marangoni-accommodation-bursary-2026,https://www.scholarshiptab.com/scholarships/istituto-marangoni-accommodation-bursary-2026
TD-0957,,Fulbright Program,,Fulbright Transatlantic Diplomacy Program (TAD) 2026,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),Master's,https://www.scholarshiptab.com/scholarships/fulbright-transatlantic-diplomacy-program-tad-2026,https://www.scholarshiptab.com/scholarships/fulbright-transatlantic-diplomacy-program-tad-2026
TD-0977,,Flinders University,,Flinders University PhD Scholarship: Discovering the Chemical Signals that Activate Hidden Phages 2026,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),PhD,https://www.scholarshiptab.com/scholarships/flinders-university-phd-scholarship-discovering-the-chemical-signals-that-activate-hidden-phages-2026,https://www.scholarshiptab.com/scholarships/flinders-university-phd-scholarship-discovering-the-chemical-signals-that-activate-hidden-phages-2026
TD-0978,,Queensland University of Technology (QUT),,QUT Research Training Program (RTP) Stipend Scholarship 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/qut-research-training-program-rtp-stipend-scholarship-2027,https://www.scholarshiptab.com/scholarships/qut-research-training-program-rtp-stipend-scholarship-2027
TD-0979,,Charles Sturt University,,Charles Sturt University AGRTP International Full-Time Scholarship 2028,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/charles-sturt-university-agrtp-international-full-time-scholarship-2028,https://www.scholarshiptab.com/scholarships/charles-sturt-university-agrtp-international-full-time-scholarship-2028
TD-0982,,Queensland University of Technology (QUT),,QUT Postgraduate Research Award (QUTPRA) 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/qut-postgraduate-research-award-qutpra-2027,https://www.scholarshiptab.com/scholarships/qut-postgraduate-research-award-qutpra-2027
TD-1005,,University of Wollongong,,University Postgraduate Award (UPA) 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/university-postgraduate-award-upa-2027,https://www.scholarshiptab.com/scholarships/university-postgraduate-award-upa-2027
TD-1009,,University of Wollongong,,UOW Australian Government Research Training Program (AGRTP) Stipend Scholarship 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/uow-australian-government-research-training-program-agrtp-stipend-scholarship-2027,https://www.scholarshiptab.com/scholarships/uow-australian-government-research-training-program-agrtp-stipend-scholarship-2027
TD-1011,,American Association of University Women (AAUW),,American Doctoral Fellowship 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/american-doctoral-fellowship-2027,https://www.scholarshiptab.com/scholarships/american-doctoral-fellowship-2027
TD-1038,,Fogarty Global Health,,Fogarty NPGH Global Health Fellowship 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/fogarty-npgh-global-health-fellowship-2027,https://www.scholarshiptab.com/scholarships/fogarty-npgh-global-health-fellowship-2027
TD-1039,,Flinders University,,Flinders University Gary Curtis Leukemia Medical Research Scholarship 2026,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),PhD,https://www.scholarshiptab.com/scholarships/flinders-university-gary-curtis-leukemia-medical-research-scholarship-2026,https://www.scholarshiptab.com/scholarships/flinders-university-gary-curtis-leukemia-medical-research-scholarship-2026
TD-1056,,Australian National University (ANU),,ANU University Research Scholarships 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/anu-university-research-scholarships-2027,https://www.scholarshiptab.com/scholarships/anu-university-research-scholarships-2027
TD-1057,,Australian National University (ANU),,ANU RTP Scholarship 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/anu-rtp-scholarship-2027,https://www.scholarshiptab.com/scholarships/anu-rtp-scholarship-2027
TD-1058,,Victoria University (VU),,Victoria University International Research Scholarships 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/victoria-university-international-research-scholarships-2027,https://www.scholarshiptab.com/scholarships/victoria-university-international-research-scholarships-2027
TD-1077,,Flinders University,,Flinders University Health Services Research and Epidemiology PhD Scholarship Opportunities 2026,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),PhD,https://www.scholarshiptab.com/scholarships/flinders-university-health-services-research-and-epidemiology-phd-scholarship-opportunities-2027,https://www.scholarshiptab.com/scholarships/flinders-university-health-services-research-and-epidemiology-phd-scholarship-opportunities-2027
TD-1081,,Deakin University,,Deakin University RTP Scholarships 2027,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),,https://www.scholarshiptab.com/scholarships/deakin-university-rtp-scholarships-2027,https://www.scholarshiptab.com/scholarships/deakin-university-rtp-scholarships-2027
TD-1101,,Vodacom,,Vodacom External Bursary Programme 2026,stipend_only,Auto-extracted (confirm deadline + link),International (open to Thais),Undergraduate,https://www.scholarshiptab.com/scholarships/vodacom-external-bursary-programme-2026,https://www.scholarshiptab.com/scholarships/vodacom-external-bursary-programme-2026
